apple,play,apple_rating,play_rating,apple_price,play_price
Sago Mini Babies,Sago Mini Babies,4,4.5,2.99,$3.99 
Baldur's Gate: Enhanced Edition,Baldur's Gate: Enhanced Edition,4,4.5,9.99,$9.99 
Airbnb,Airbnb,4,4.4,0,0
Best Buy,Best Buy,4,4.4,0,0
Firefox Focus: The privacy browser,Firefox Focus: The privacy browser,4,4.4,0,0
NBA LIVE Mobile Basketball,NBA LIVE Mobile Basketball,4,4.4,0,0
Tumblr,Tumblr,4,4.4,0,0
True Skate,True Skate,4,4.4,1.99,$1.99 
Out There Chronicles - Ep. 1,Out There Chronicles - Ep. 1,4,4.4,1.99,$2.99 
Dr. Panda Hospital,Dr. Panda Hospital,4,4.4,2.99,$2.99 
Don't Starve: Pocket Edition,Don't Starve: Pocket Edition,4,4.4,4.99,$4.99 
LEGO® Friends,LEGO® Friends,4,4.4,4.99,$4.99 
"Please, Don't Touch Anything","Please, Don't Touch Anything",4,4.4,4.99,$4.99 
Grand Theft Auto: San Andreas,Grand Theft Auto: San Andreas,4,4.4,6.99,$6.99 
ADP Mobile Solutions,ADP Mobile Solutions,4,4.3,0,0
Amex Mobile,Amex Mobile,4,4.3,0,0
Bike Unchained,Bike Unchained,4,4.3,0,0
Candy Crush Jelly Saga,Candy Crush Jelly Saga,4,4.3,0,0
Indeed Job Search,Indeed Job Search,4,4.3,0,0
Kik,Kik,4,4.3,0,0
Puffin Web Browser,Puffin Web Browser,4,4.3,0,0
Shopkins World!,Shopkins World!,4,4.3,0,0
SONIC Drive-In,SONIC Drive-In,4,4.3,0,0
T-Mobile,T-Mobile,4,4.3,0,0
The Simpsons™: Tapped Out,The Simpsons™: Tapped Out,4,4.3,0,0
WEB.DE Mail,WEB.DE Mail,4,4.3,0,0
NBA JAM by EA SPORTS™,NBA JAM by EA SPORTS™,4,4.3,4.99,$4.99 
Amazon Prime Video,Amazon Prime Video,4,4.2,0,0
Angry Birds Friends,Angry Birds Friends,4,4.2,0,0
Angry Birds Go!,Angry Birds Go!,4,4.2,0,0
Bejeweled Blitz,Bejeweled Blitz,4,4.2,0,0
Driving Zone,Driving Zone,4,4.2,0,0
Dumb Ways to Die 2: The Games,Dumb Ways to Die 2: The Games,4,4.2,0,0
Google Classroom,Google Classroom,4,4.2,0,0
Google Slides,Google Slides,4,4.2,0,0
Google Street View,Google Street View,4,4.2,0,0
King of Avalon: Dragon Warfare,King of Avalon: Dragon Warfare,4,4.2,0,0
MARVEL Avengers Academy,MARVEL Avengers Academy,4,4.2,0,0
NASCAR MOBILE,NASCAR MOBILE,4,4.2,0,0
Dr. Panda Supermarket,Dr. Panda Supermarket,4,4.2,2.99,$2.99 
LEGO Batman: DC Super Heroes,LEGO Batman: DC Super Heroes,4,4.2,4.99,$4.99 
XCOM®: Enemy Within,XCOM®: Enemy Within,4,4.2,9.99,$9.99 
Ao Oni2,Ao Oni2,4,4.1,0,0
Cartoon Wars 3,Cartoon Wars 3,4,4.1,0,0
diep.io,diep.io,4,4.1,0,0
DRAGON BALL Z DOKKAN BATTLE,DRAGON BALL Z DOKKAN BATTLE,4,4.1,0,0
Infinite Painter,Infinite Painter,4,4.1,0,0
LEGO® Juniors Create & Cruise,LEGO® Juniors Create & Cruise,4,4.1,0,0
My Little Pony: Harmony Quest,My Little Pony: Harmony Quest,4,4.1,0,0
Peggle Blast,Peggle Blast,4,4.1,0,0
Tom's Love Letters,Tom's Love Letters,4,4.1,0,0
UNO ™ & Friends,UNO ™ & Friends,4,4.1,0,0
WatchESPN,WatchESPN,4,4.1,0,0
Get 'Em,Get 'Em,4,4.1,0.99,0
Tom Loves Angela,Tom Loves Angela,4,4.1,0.99,0
Dr. Panda Farm,Dr. Panda Farm,4,4.1,2.99,$2.99 
Does not Commute,Does not Commute,4,4,0,0
Hangouts,Hangouts,4,4,0,0
RISK: Global Domination,RISK: Global Domination,4,4,0,0
Fitbit,Fitbit,4,3.9,0,0
Assassin's Creed Identity,Assassin's Creed Identity,4,3.7,4.99,$1.99 
TED,TED,3.5,4.6,0,0
Allrecipes Dinner Spinner,Allrecipes Dinner Spinner,3.5,4.5,0,0
Boomerang from Instagram,Boomerang from Instagram,3.5,4.4,0,0
Dropbox,Dropbox,3.5,4.4,0,0
Google Translate,Google Translate,3.5,4.4,0,0
iFunny :),iFunny :),3.5,4.4,0,0
NBA,NBA,3.5,4.4,0,0
Netflix,Netflix,3.5,4.4,0,0
slither.io,slither.io,3.5,4.4,0,0
Speedtest by Ookla,Speedtest by Ookla,3.5,4.4,0,0
VSCO,VSCO,3.5,4.4,0,0
Chick-fil-A,Chick-fil-A,3.5,4.3,0,0
Google Earth,Google Earth,3.5,4.3,0,0
Ingress,Ingress,3.5,4.3,0,0
Premier League - Official App,Premier League - Official App,3.5,4.3,0,0
STARZ,STARZ,3.5,4.3,0,0
Twitter,Twitter,3.5,4.3,0,0
Just Dance Now,Just Dance Now,3.5,4.2,0,0
Kids A-Z,Kids A-Z,3.5,4.2,0,0
LinkedIn,LinkedIn,3.5,4.2,0,0
Nick,Nick,3.5,4.2,0,0
PBS KIDS Video,PBS KIDS Video,3.5,4.2,0,0
"Univision Deportes: Liga MX, MLS, Fútbol En Vivo","Univision Deportes: Liga MX, MLS, Fútbol En Vivo",3.5,4.2,0,0
DIRECTV,DIRECTV,3.5,4.1,0,0
Edmodo,Edmodo,3.5,4.1,0,0
Facebook,Facebook,3.5,4.1,0,0
Geocaching®,Geocaching®,3.5,4.1,0,0
NBC News,NBC News,3.5,4.1,0,0
Timehop,Timehop,3.5,4.1,0,0
USA TODAY,USA TODAY,3.5,4.1,0,0
YouNow: Live Stream Video Chat,YouNow: Live Stream Video Chat,3.5,4.1,0,0
Don't Starve: Shipwrecked,Don't Starve: Shipwrecked,3.5,4.1,4.99,$4.99 
AnatomyMapp,AnatomyMapp,3.5,4.1,9.99,$14.99 
Citi Mobile®,Citi Mobile®,3.5,4,0,0
DB Navigator,DB Navigator,3.5,4,0,0
NHL,NHL,3.5,4,0,0
Tinder,Tinder,3.5,4,0,0
Puffin Browser Pro,Puffin Browser Pro,3.5,4,3.99,$3.99 
I am Bread,I am Bread,3.5,4,4.99,$4.99 
Mobile Strike,Mobile Strike,3.5,3.9,0,0
Whataburger,Whataburger,3,4.5,0,0
Uber Driver,Uber Driver,3,4.4,0,0
Wells Fargo Mobile,Wells Fargo Mobile,3,4.4,0,0
PAC-MAN,PAC-MAN,3,4.2,0,0
Uber,Uber,3,4.2,0,0
Epson iPrint,Epson iPrint,3,4.1,0,0
Messenger,Messenger,3,4.1,0,0
Pokémon GO,Pokémon GO,3,4.1,0,0
Redbox,Redbox,3,4.1,0,0
Thomas & Friends: Race On!,Thomas & Friends: Race On!,3,4.1,0,0
Mad Libs,Mad Libs,3,4,0,0
Sky News,Sky News,3,4,0,0
Southwest Airlines,Southwest Airlines,3,3.9,0,0
Fly Delta,Fly Delta,3,3.7,0,0
Google Play Movies & TV,Google Play Movies & TV,3,3.7,0,0
H&M,H&M,3,3.7,0,0
myAT&T,myAT&T,3,3.7,0,0
BET NOW - Watch Shows,BET NOW - Watch Shows,2.5,4.2,0,0
SHOWTIME,SHOWTIME,2.5,4.2,0,0
NFL,NFL,2.5,4.1,0,0
Battlefield™ Companion,Battlefield™ Companion,2.5,4,0,0
Snapchat,Snapchat,2.5,4,0,0
T-Mobile Tuesdays,T-Mobile Tuesdays,2.5,4,0,0
MTV,MTV,2.5,3.8,0,0
Super Mario Run,Super Mario Run,2.5,3.7,0,0
United Airlines,United Airlines,2.5,3.5,0,0
My College Bookstore,My College Bookstore,2.5,3.2,0,0
AirWatch Agent,AirWatch Agent,2.5,3.1,0,0
NBC Sports,NBC Sports,2.5,3.1,0,0
U by BB&T,U by BB&T,2,4.3,0,0
NCAA Sports,NCAA Sports,2,3.9,0,0
Peppa Pig: Party Time,Peppa Pig: Party Time,2,3.8,0.99,$2.99 
McDonald's,McDonald's,2,3.6,0,0
myChevrolet,myChevrolet,2,3.5,0,0
AMC,AMC,2,3.2,0,0
SNCF,SNCF,1.5,3.4,0,0
Philips Hue,Philips Hue,1.5,3.1,0,0
